id,key,value,type
16314723,surface,asphalt,regular
16314724,highway,unclassified,regular
16314724,lanes,2,regular
16314724,maxspeed,50,regular
16314724,name,Świdnicka,regular
16314724,de,Schweidnitzer Straße,name
16314724,pl,Świdnicka,name
16314724,oneway,yes,regular
16314724,maxspeed,PL:urban,source
16314724,surface,asphalt,regular
16314727,highway,tertiary,regular
16314727,lanes,2,regular
16314727,maxspeed,50,regular
16314727,name,Tadeusza Kościuszki,regular
16314727,de,Tauentzienstraße,name
16314727,pl,Tadeusza Kościuszki,name
16314727,oneway,yes,regular
16314727,maxspeed,PL:urban,source
16314727,surface,orto2015,source
16314727,surface,asphalt,regular
16314728,bicycle,yes,regular
16314728,highway,pedestrian,regular
16314728,name,Plac Wolności,regular
16314728,de,Freiheitsplatz,name
16314728,pl,Plac Wolności,name
16314728,oneway,no,regular
16314728,vehicle,private,regular
16314730,highway,unclassified,regular
16314730,lanes,1,regular
16314730,maxspeed,50,regular
16314730,name,Świdnicka,regular
16314730,de,Schweidnitzer Straße,name
16314730,pl,Świdnicka,name
16314730,oneway,yes,regular
16314730,maxspeed,PL:urban,source
16314730,surface,asphalt,regular
16314733,bicycle,yes,regular
16314733,highway,pedestrian,regular
16314733,name,Plac Wolności,regular
16314733,de,Freiheitsplatz,name
16314733,pl,Plac Wolności,name
16314733,note,strefa zamieszkania ze znakiem B-1 za wyjątkiem rowerów,regular
16314733,oneway,no,regular
16315189,highway,tertiary,regular
16315189,lanes,2,regular
16315189,maxspeed,50,regular
16315189,conditional,60 @ (23:00-05:00),maxspeed
16315189,name,Tadeusza Zielińskiego,regular
16315189,de,Höfchenstraße,old_name
16315189,oneway,yes,regular
16315189,maxspeed,PL:urban,source
16315189,surface,asphalt,regular
16315191,highway,tertiary,regular
16315191,lanes,2,regular
16315191,maxspeed,50,regular
16315191,conditional,60 @ (23:00-05:00),maxspeed
16315191,name,Tadeusza Zielińskiego,regular
16315191,maxspeed,PL:urban,source
16315191,surface,asphalt,regular
16315195,highway,tertiary,regular
16315195,lanes,2,regular
