id,user,uid,version,changeset,timestamp
22664196,Jan Górski,20581,1,690738,2008-01-25T00:50:09Z
22664197,rowers2,2445224,13,50535411,2017-07-24T17:49:28Z
22718166,rowers2,2445224,15,50078462,2017-07-06T08:36:19Z
22718167,rowers2,2445224,28,50402902,2017-07-19T11:44:51Z
22720730,beweta,152074,15,35619148,2015-11-27T21:52:41Z
22720731,beweta,152074,11,35619148,2015-11-27T21:52:41Z
22720809,maraf24,2098272,9,42272989,2016-09-19T15:26:34Z
22721090,rowers2,2445224,11,46264031,2017-02-21T06:04:42Z
22721091,rowers2,2445224,6,50224407,2017-07-12T09:33:41Z
22721093,rowers2,2445224,18,50199300,2017-07-11T11:24:40Z
22721094,rowers2,2445224,6,45261404,2017-01-18T04:57:48Z
22721095,rowers2,2445224,3,45261404,2017-01-18T04:57:14Z
22727324,wmyrda,1980824,20,51404903,2017-08-24T12:04:01Z
22727325,rowers2,2445224,22,50336510,2017-07-16T22:40:32Z
22727326,rowers2,2445224,25,51974641,2017-09-12T14:12:49Z
22727448,wmyrda,1980824,17,51404903,2017-08-24T12:04:02Z
22727450,maraf24,2098272,7,33745167,2015-09-02T08:06:43Z
22727451,psboypl,2378643,5,27318411,2014-12-07T19:02:32Z
22727452,rowers2,2445224,10,34400793,2015-10-03T02:58:20Z
22727454,wmyrda,1980824,16,51404903,2017-08-24T12:04:02Z
22727455,wmyrda,1980824,14,51404903,2017-08-24T12:04:02Z
22727456,wmyrda,1980824,11,51404903,2017-08-24T12:04:03Z
22728066,rowers2,2445224,17,49958115,2017-07-01T05:00:08Z
22728067,rowers2,2445224,8,45264903,2017-01-18T08:51:20Z
22728084,rowers2,2445224,10,50134229,2017-07-08T15:57:53Z
22728085,rowers2,2445224,9,34401411,2015-10-03T04:57:59Z
22728142,maraf24,2098272,10,36617045,2016-01-16T15:13:21Z
22728143,rowers2,2445224,8,33406954,2015-08-18T04:54:00Z
22728144,rowers2,2445224,12,33406954,2015-08-18T04:54:00Z
22728145,rowers2,2445224,5,33406954,2015-08-18T04:54:00Z
22728146,wmyrda,1980824,11,51404903,2017-08-24T12:04:03Z
22728148,rowers2,2445224,7,51178951,2017-08-16T15:30:49Z
22728166,rowers2,2445224,13,49904921,2017-06-29T00:05:14Z
22728167,rowers2,2445224,10,50679752,2017-07-29T20:20:52Z
22728196,rowers2,2445224,12,50643736,2017-07-28T09:55:45Z
22728197,rowers2,2445224,21,45484969,2017-01-25T18:13:00Z
